Size, FIFO, SSTF, SCAN, C-SCAN
500, 3.41487, 2.01324, 2.01029, 2.01237
501, 3.41649, 2.0143, 2.01104, 2.01337
502, 3.41155, 2.01398, 2.0102, 2.01264
503, 3.41309, 2.01515, 2.01109, 2.01347
504, 3.41257, 2.01292, 2.01003, 2.0123
505, 3.41302, 2.01293, 2.00973, 2.01245
506, 3.41412, 2.01302, 2.00896, 2.0114
507, 3.41577, 2.01686, 2.01419, 2.01655
508, 3.41279, 2.00975, 2.00657, 2.00874
509, 3.41831, 2.01356, 2.01167, 2.01399
510, 3.41815, 2.01728, 2.01429, 2.01648
511, 3.41674, 2.01336, 2.0092, 2.01184
512, 3.41381, 2.01409, 2.0097, 2.01216
513, 3.4162, 2.01164, 2.00793, 2.01039
514, 3.4145, 2.01519, 2.01153, 2.01363
515, 3.4153, 2.01415, 2.01092, 2.01321
516, 3.41493, 2.01059, 2.00649, 2.00857
517, 3.41667, 2.01304, 2.00926, 2.01171
518, 3.41718, 2.01089, 2.00685, 2.00912
519, 3.41228, 2.0088, 2.00523, 2.00731
520, 3.41421, 2.01216, 2.00929, 2.01188
521, 3.41429, 2.01677, 2.01281, 2.01482
522, 3.41298, 2.01366, 2.01061, 2.0129
523, 3.41289, 2.01427, 2.00953, 2.01158
524, 3.41336, 2.01492, 2.01136, 2.01365
525, 3.41207, 2.01316, 2.00853, 2.01079
526, 3.41463, 2.01121, 2.00791, 2.00989
527, 3.41516, 2.0117, 2.00891, 2.01112
528, 3.41402, 2.01357, 2.01095, 2.01318
529, 3.41651, 2.01271, 2.0086, 2.01087
530, 3.41104, 2.01392, 2.01055, 2.01278
531, 3.41512, 2.01491, 2.01132, 2.01362
532, 3.41829, 2.01474, 2.01019, 2.01292
533, 3.41538, 2.01849, 2.01452, 2.0164
534, 3.41407, 2.01177, 2.00783, 2.01025
535, 3.41177, 2.01103, 2.00887, 2.01071
536, 3.41628, 2.0139, 2.01106, 2.01285
537, 3.41647, 2.01377, 2.00901, 2.0109
538, 3.41475, 2.00966, 2.00688, 2.0087
539, 3.40782, 2.01168, 2.00929, 2.01129
540, 3.41222, 2.01242, 2.00915, 2.01142
541, 3.41487, 2.01589, 2.01338, 2.01547
542, 3.41114, 2.01456, 2.01183, 2.01391
543, 3.41633, 2.01709, 2.01352, 2.01536
544, 3.41367, 2.0132, 2.00992, 2.01185
545, 3.41252, 2.01326, 2.01038, 2.01246
546, 3.4159, 2.01476, 2.01122, 2.01347
547, 3.4201, 2.0135, 2.00971, 2.01194
548, 3.41629, 2.01264, 2.00948, 2.01201
549, 3.4095, 2.01302, 2.01053, 2.01263
550, 3.41775, 2.0141, 2.01106, 2.01291
551, 3.41728, 2.01357, 2.0109, 2.01306
552, 3.41518, 2.01352, 2.01005, 2.01174
553, 3.41513, 2.01025, 2.00791, 2.01
554, 3.41357, 2.01251, 2.00993, 2.01173
555, 3.41554, 2.01452, 2.01115, 2.01339
556, 3.41383, 2.01494, 2.01113, 2.013
557, 3.41325, 2.01387, 2.01012, 2.01229
558, 3.41123, 2.00992, 2.00746, 2.00919
559, 3.41127, 2.01071, 2.00676, 2.00901
560, 3.41553, 2.01255, 2.00943, 2.01143
561, 3.41073, 2.00831, 2.00544, 2.00755
562, 3.4139, 2.00813, 2.0044, 2.00668
563, 3.41113, 2.01453, 2.01082, 2.0128
564, 3.41692, 2.00789, 2.00534, 2.0075
565, 3.4197, 2.01872, 2.01607, 2.0177
566, 3.41473, 2.01377, 2.01085, 2.01282
567, 3.41667, 2.01483, 2.01203, 2.01395
568, 3.41644, 2.01103, 2.00848, 2.0107
569, 3.41191, 2.01664, 2.01386, 2.01587
570, 3.4126, 2.01716, 2.01354, 2.01554
571, 3.41763, 2.01494, 2.01191, 2.01392
572, 3.41711, 2.01241, 2.0099, 2.0116
573, 3.41335, 2.01157, 2.0082, 2.01016
574, 3.41263, 2.01474, 2.0111, 2.01297
575, 3.41584, 2.00791, 2.00555, 2.00772
